impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K25-180310,A731134,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2958822,LOST,Carl,Dog,Over 1 year<p/>,Male,Chihuahua - Smooth Coated,Brown,"Jun 26, 2025",Date Lost,25300 block of  135th Ave SE,Kent,,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2958822,Image Copyright HLP Inc. 2025,"Description: Tan in color has black spot on his rear leg (can’t remember which right now) walks bow legged from an accident.  <p/>Age: Over 1 year<p/>Location Lost: 25339 135th ave se unit 47, Kent WA  98042<p/>Lost Date: 2025-06-26<p/>",
K25-180739,A731809,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A731809,Paws,,Cat,1 YEAR,Female,Domestic Shorthair,Tortie,"Jul 10, 2025",Received on,17500 block of  15TH AVE NE,SHORELINE,WA,98155,SHORELINE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731809,Image Copyright HLP Inc. 2025,Received on: 2025-07-10<p/> Found Near: 17500 block of  15TH AVE NE<p/> Description: Tortie Female Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: Paws<p/>,
K25-180834,A731921,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2965612,LOST,Aela,Dog,Under 1 year<p/>,Female,Belgian Malinois,Black,"Jul 12, 2025",Date Lost,300 block of  S St SE,Auburn,,98002,OTHER,47.30568,-122.206719,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2965612,Image Copyright HLP Inc. 2025,"Description: Small mostly black dog with white chest. She’s a mal mix who’s around 19” at the withers and 27 pounds<p/>Age: Under 1 year<p/>Location Lost: 204th Ave SE & SE 259th St, Kent WA  98042<p/>Lost Date: 2025-07-12<p/>",
K25-180451,A731379,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2960528,LOST,Lunah,Cat,Over 1 year<p/>,Male,Maine Coon,Brown,"Jun 30, 2025",Date Lost,100 block of  TH AVE S. AND SPUTH ATLANTOC,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2960528,Image Copyright HLP Inc. 2025,"Description: Posting again Missing cat may have been seen Mt Baker /Leschi area near 30th ave s. And irving. If you are able to contain him i can get him. He is chipped. 15 lbs. green eyes black foot pads Please contact me asap so i can find him. #missingcat #Lostcat #mtbaker #leschi @<p/>Age: Over 1 year<p/>Location Lost: 30 th ave s. And Sputh Atlantoc, Seattle WA  98118<p/>Lost Date: 2025-06-30<p/>",
K25-180239,A731015,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2957996,LOST,Carlos,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Brown,"Jun 24, 2025",Date Lost,269TH  ST SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2957996,Image Copyright HLP Inc. 2025,"Description: Tabby cat with distinct black birth mark on the nose will answer to Carlitos or normal cat calls<p/>Age: Over 1 year<p/>Location Lost: 269th st se , Kent WA  98042<p/>Lost Date: 2025-06-24<p/>",
K25-178736,A728639,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A728639,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Onyx,Dog,8 MONTHS,Male,German Shepherd / Siberian Husky,Black / Brown,"May 17, 2025",Received on,38400 block of  172ND AVE SE,AUBURN,WA,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A728639,Image Copyright HLP Inc. 2025,"Received on: 2025-05-17<p/> Found Near: 38400 block of  172ND AVE SE<p/> Description: Black / Brown Male German Shepherd / Siberian Husky Dog<p/> Age: 8 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-179818,A730305,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2953349,In Public Home,Unknown,Dog,Under 1 year<p/>,Female,Alaskan Husky,Unknown,"Jun 12, 2025",Date Found,80th  Pl S & 84th Ave S,Kent,,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2953349,Image Copyright HLP Inc. 2025,"Description: Red Husky <p/>Age: Under 1 year<p/>Found Near: 80th pl s and 84th Ave S, Kent WA  98032<p/>Found Date: 2025-06-12<p/>",
K25-179683,A730096,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2952152,In Public Home,Niva(?),Dog,Unknown<p/>,Female,Pug,Unknown,"Jun 11, 2025",Date Found,NE  124th St & 273rd Ave NE,King County,,98019,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2952152,Image Copyright HLP Inc. 2025,"Description: Missing teeth, tongue hangs out of mouth on the right side of her face. Very calm, drools a lot. <p/>Age: Unknown<p/>Found Near: NE 124th St and 273rd Avenue, Duvall WA  98019<p/>Found Date: 2025-06-11<p/>",
K25-180824,A731909,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2965481,LOST,Nika,Cat,Over 1 year<p/>,Female,Tonkinese,Unknown,"Jul 12, 2025",Date Lost,16400 block of  NE 12TH ST,Bellevue,,98008,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2965481,Image Copyright HLP Inc. 2025,"Description: Big girl, grey, with blue eyes. She has a crooked tail and is very shy. I'm not so sure of what breed, maybe a mix between Russian Blue and Tonkinese. <p/>Age: Over 1 year<p/>Location Lost: 16404 NE 12TH ST, Bellevue WA  98008<p/>Lost Date: 2025-07-12<p/>",
K25-180256,A731046,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A731046,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Rose,Cat,2 YEARS,Spayed Female,Domestic Shorthair,Brn Tabby,"Jun 27, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731046,Image Copyright HLP Inc. 2025,"Received on: 2025-06-27<p/> Description: Brn Tabby<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Rose and I am available for adoption.<p/><p/>I was transferred in from another agency on June 27, 2025 with my kittens.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>Because of my shy nature, I would do best in a calm, quiet home. When I go to my new home it is important to be patient with me and allow me time to acclimate to my new environment at my own speed. It is best to keep me in a smaller, quiet room, with my food, bed, and litterbox until I am comfortable and confident enough to start exploring the rest of my home.<p/><p/> am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",
K25-180912,A732093,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A732093,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Pawtra,Dog,6 MONTHS,Spayed Female,Pit Bull,Fawn / White,"Jul 15, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732093,Image Copyright HLP Inc. 2025,"Received on: 2025-07-15<p/> Description: Fawn / White<p/>  Spayed Female Pit Bull Dog<p/> Age: 6 MONTHS<p/> Adoption Fee: $200<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Pawtra and I am available for adoption.<p/><p/>I was brought to RASKC on July 15, 2025. I was quite fearful when I first arrived at RASKC, but I am finally showing my wonderful true colors.<p/><p/>I weigh 47.6.0 lbs right now. I am considered a ""medium/large breed"" dog.<p/><p/>I am unsure of new things and people, but am super treat motivated so that's the way to my heart! <p/><p/>I am an affectionate gal once I get to know you!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy. Due to my energy and strength I would do best in a home with older children.<p/><p/>I am a puppy!! I will need to find a home where someone is available for me in these early days. It is important to be consistent with me and socialize me so I can have the best companionship with people and other animals. Puppies require patience because everything is brand new so I will need some TLC while I learn. I am not potty trained or crate training yet and teaching me those skills will help tremendously on a road to success! If you and your family are ready to fall in love my awesome self, please check me out!!<p/><p/>I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",
K25-180973,A730023,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A730023,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Supreme,Cat,10 WEEKS,Spayed Female,Domestic Shorthair,Black,"Jul 17, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A730023,Image Copyright HLP Inc. 2025,"Received on: 2025-07-17<p/> Description: Black<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 10 WEEKS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>",
K25-180796,A731874,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2965176,LOST,Byrde,Cat,Over 1 year<p/>,Female,Domestic Longhair,Unknown,"Jul 04, 2025",Date Lost,12th  Ave S & S Nevada St,Seattle,,98108,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2965176,Image Copyright HLP Inc. 2025,"Description: 12 year old F/S domestic long hair. thinner body condition. Some pigment art changes in her Irises.<p/>Age: Over 1 year<p/>Location Lost: 12th Ave S and Nevada, Seattle WA  98108<p/>Lost Date: 2025-07-04<p/>",
K25-180788,A731859,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,Everest,Cat,0 DAYS,Female,Domestic Shorthair,Black / White,"Jul 11, 2025",Received on,11100 block of  SE 218TH PL,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731859,Image Copyright HLP Inc. 2025,Received on: 2025-07-11<p/> Found Near: 11100 block of  SE 218TH PL<p/> Description: Black / White Female Domestic Shorthair Cat<p/> Age: 0 DAYS<p/> Current Location: In RASKC Foster Home <p/>,
K25-179715,A722375,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A722375,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Tribble,Cat,2 YEARS 6 MONTHS,Spayed Female,Domestic Shorthair,Tortie,"Jun 12, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A722375,Image Copyright HLP Inc. 2025,"Received on: 2025-06-12<p/> Description: Tortie<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 2 YEARS 6 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>",
K25-179585,A729910,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2951163,LOST,Figaro,Cat,Over 1 year<p/>,Male,Ragdoll,White,"Jun 07, 2025",Date Lost,51TH  ST AND RENTON AVE. (NEAR KUBOTA GARDENS),,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2951163,Image Copyright HLP Inc. 2025,"Description: Figgy (Figaro) is a male, approx 2 years of age, he is mostly white with dark spots on his body. He has blue eyes and dark ears (except for a line of white on each ear). He is really friendly and very fluffy. <p/>Age: Over 1 year<p/>Location Lost: 51th st and renton ave. (near Kubota Gardens), Seattle WA  98118<p/>Lost Date: 2025-06-07<p/>",
K25-180323,A731148,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A731148,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Joel,Dog,4 YEARS,Neutered Male,Alaskan Husky,Gray / White,"Jun 29, 2025",Received on,12600 block of  156TH AVE SE,RENTON,WA,98059,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731148,Image Copyright HLP Inc. 2025,"Received on: 2025-06-29<p/> Found Near: 12600 block of  156TH AVE SE<p/> Description: Gray / White Neutered Male Alaskan Husky Dog<p/> Age: 4 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-179528,A729854,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2950522,LOST,Cathy,Dog,Over 1 year<p/>,Female,American Eskimo,Brown,"Jun 07, 2025",Date Lost,40th  Ave S & S 170th St,SeaTac,,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2950522,Image Copyright HLP Inc. 2025,"Description: Cathy is a 30 pound, light brown, mixed breed dog. She has pointy ears, a black snout like a German shepherd, and a curly tail. She is friendly with humans but can get skittish in crowds and around loud noises. She is friendly with dogs but may bark at them.<p/>Age: Over 1 year<p/>Location Lost: 40th Ave S and S 170th St, Seattle WA  98188<p/>Lost Date: 2025-06-07<p/>",
K25-180858,A731956,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2965799,LOST,Johnny,Cat,Over 1 year<p/>,Male,Siamese,White,"Jul 12, 2025",Date Lost,100 block of  145TH AVE NE,Bellevue,,98007,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2965799,Image Copyright HLP Inc. 2025,"<p/>Age: Over 1 year<p/>Location Lost: 120 145th Ave NE, Bellevue WA  98007<p/>Lost Date: 2025-07-12<p/>",
K25-180735,A731805,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A731805,Paws,,Cat,10 WEEKS,Female,Domestic Shorthair,Black / White,"Jul 10, 2025",Received on,17500 block of  15TH AVE NE,SHORELINE,WA,98155,SHORELINE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731805,Image Copyright HLP Inc. 2025,Received on: 2025-07-10<p/> Found Near: 17500 block of  15TH AVE NE<p/> Description: Black / White Female Domestic Shorthair Cat<p/> Age: 10 WEEKS<p/> Current Location: Paws<p/>,
K25-180682,A731740,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2964213,LOST,Bacca,Cat,Over 1 year<p/>,Male,Siamese,Black,"Jul 09, 2025",Date Lost,3800 block of  NE 155th Pl,Lake Forest Park,,98155,LAKE FOREST PAR,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2964213,Image Copyright HLP Inc. 2025,"Description: Black / green eyes<p/>Age: Over 1 year<p/>Location Lost: 3825 ne 155 th pl, Seattle WA  98155<p/>Lost Date: 2025-07-09<p/>",
K25-178616,A728434,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A728434,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Snudge,Cat,14 WEEKS,Male,Domestic Shorthair,Orange / White,"May 13, 2025",Received on,10600 block of  SE 240TH ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A728434,Image Copyright HLP Inc. 2025,"Received on: 2025-05-13<p/> Found Near: 10600 block of  SE 240TH ST<p/> Description: Orange / White Male Domestic Shorthair Cat<p/> Age: 14 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-180770,A729861,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,Dee Dee,Cat,9 WEEKS,Spayed Female,Domestic Mediumhair,Black,"Jun 07, 2025",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A729861,Image Copyright HLP Inc. 2025,"Received on: 2025-06-07<p/> Description: Black Spayed Female Domestic Mediumhair Cat<p/> Age: 9 WEEKS<p/> Adoption Fee: $100.00<p/> Current Location: In RASKC Foster Home <p/>Hi!  My name is Dee Dee.  I am sweet and cuddly and hilarious to watch when I play, as I often bounce around and jump in the air - just because I can! My most favorite thing in the whole world is to romp around with my brother and sister.  They are truly my best buddies!  I love my people, too, and love to sit in their laps and tickle their toes.  I would love to be adopted by a family who will keep me indoors.  I would be thrilled if you also adopted one or both of my siblings or have another kitty that I could play with.<p/><p/><p/>",
K25-180892,A732037,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2966334,In Public Home,,Dog,Unknown<p/>,Female,Alaskan Husky,Unknown,"Jul 14, 2025",Date Found,219th  Ave SE & SE 368th Way,King County,,98022,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2966334,Image Copyright HLP Inc. 2025,"Description: She is young and kind of protective <p/>Age: Unknown<p/>Found Near: 219th and 368th , Enumclaw WA  98022<p/>Found Date: 2025-07-14<p/>",
K25-180073,A730762,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2956472,LOST,Ding Dong,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,Brown,"Jun 13, 2025",Date Lost,16TH  ST & WOOD AVE,SU,,98390,PIERCE COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2956472,Image Copyright HLP Inc. 2025,"Description: Brown and black hair.  When went missing we had just given him a haircut.  Short hair on sides and outer legs; left black hair down back a little longer and fluffy face.  Has a stubby tip of tail.  Friendly. Went missing from Sumner, WA on 6/13/25.  Normally, would hunt for worms in the yard until he went missing.  <p/>Age: Over 1 year<p/>Location Lost: 16th ST and Wood in Sumner, WA, Sumner WA  98390<p/>Lost Date: Jun 13 202<p/>",
K25-180595,A731634,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2963367,LOST,Remi,Dog,Over 1 year<p/>,Female,Pit Bull,Unknown,"Jul 07, 2025",Date Lost,,,,,MAPLE VALLEY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2963367,Image Copyright HLP Inc. 2025,"Description: Blonde brindle, red and black collar<p/>Age: Over 1 year<p/>Location Lost: 27250 207th AVE SE Maple Valley WA, Maple Valley WA  98038<p/>Lost Date: 2025-07-07<p/>",
K25-179140,A723829,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A723829,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Maxine,Dog,1 YEAR 5 MONTHS,Spayed Female,Pit Bull / Mix,Black / White,"May 28, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A723829,Image Copyright HLP Inc. 2025,"Received on: 2025-05-28<p/> Description: Black / White<p/>  Spayed Female Pit Bull / Mix Dog<p/> Age: 1 YEAR 5 MONTHS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Maxine and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on May 28, 2025.<p/><p/>I weigh ~65.0 lbs and am considered a ""large breed"" dog.<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy. My caregivers have been keeping me busy by feeding me with a maze feeder and offering me a lot of chew toys! Due to my high energy I would thrive best in a home without younger children.<p/><p/>My caregivers have noticed that I seem to do well with other large dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>I'm a Playgroup Pal! Ask the staff today about my interactions with other dogs at the shelter in our Playgroups.<p/><p/>I am a sweet gal who is still working on her leash skills :)<p/><p/>I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",
K25-181049,A731298,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A731298,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Jer,Cat,13 WEEKS,Neutered Male,Domestic Longhair,Gray / White,"Jul 18, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731298,Image Copyright HLP Inc. 2025,"Received on: 2025-07-18<p/> Description: Gray / White<p/>  Neutered Male Domestic Longhair Cat<p/> Age: 13 WEEKS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>",
K25-180934,A732137,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,,Cat,4 WEEKS,Male,Domestic Shorthair,Black / White,"Jul 16, 2025",Received on,11400 block of  87TH AVE S,SEATTLE,WA,98178,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732137,Image Copyright HLP Inc. 2025,Received on: 2025-07-16<p/> Found Near: 11400 block of  87TH AVE S<p/> Description: Black / White Male Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K25-180015,A730694,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2955819,LOST,Mui Mui,Cat,Over 1 year<p/>,Female,American Shorthair,Unknown,"Jun 20, 2025",Date Lost,98031 98031,,,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2955819,Image Copyright HLP Inc. 2025,"<p/>Age: Over 1 year<p/>Location Lost: 102nd Ave se Kent , Kent WA  98031<p/>Lost Date: 2025-06-20<p/>",
K25-180592,A731626,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2963303,LOST,Mr. Meow Meo,Cat,Over 1 year<p/>,Male,Siamese,Brown,"Jun 17, 2025",Date Lost,30500 block of  128th Pl SE,Auburn,,98092,AUBURN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2963303,Image Copyright HLP Inc. 2025,"Description: Blue eyes. Really big boy. Is not fixed. His name is Mr. Meow Meow. His front paws are really big and between his thumb and pointer webbing there is an extra claw on both front paws.<p/>Age: Over 1 year<p/>Location Lost: 30512 128th Place Ne, Auburn WA  98092<p/>Lost Date: 2025-06-17<p/>",
K25-180838,A731931,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2965657,LOST,Luna,Cat,Over 1 year<p/>,Female,Bombay,Black,"Jul 10, 2025",Date Lost,9400 block of  REDMOND WOODINVILLE RD NE AND 90TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2965657,Image Copyright HLP Inc. 2025,"Description: Black skinny shorthair Bombay cat. 1.5 years old. Has white spot in her chest and tummy. <p/>Age: Over 1 year<p/>Location Lost: 9470 Redmond Woodinville rd NE and 90th st , Redmond WA  98052<p/>Lost Date: 2025-07-10<p/>",
K25-180388,A731294,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2959984,LOST,Ayla,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Unknown,"Jun 26, 2025",Date Lost,CENTRAL  PL S,266TH ST E VALLE,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2959984,Image Copyright HLP Inc. 2025,"Description: Grey, green eyes big, medium large <p/>Age: Over 1 year<p/>Location Lost: Central Pl S, 266th st, E valley hwy, Kent WA  98030<p/>Lost Date: 2025-06-26<p/>",
K25-181024,A732237,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A732237,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,9 WEEKS,Male,Border Collie / Alaskan Husky,Tan / Sable,"Jul 18, 2025",Received on,39900 block of  264TH AVE SE,ENUMCLAW,WA,98022,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732237,Image Copyright HLP Inc. 2025,"Received on: 2025-07-18<p/> Found Near: 39900 block of  264TH AVE SE<p/> Description: Tan / Sable Male Border Collie / Alaskan Husky Dog<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-181068,A732293,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A732293,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,8 WEEKS,Male,Domestic Shorthair,Black,"Jul 19, 2025",Received on,21800 block of  SE GREEN VALLEY RD,AUBURN,WA,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732293,Image Copyright HLP Inc. 2025,"Received on: 2025-07-19<p/> Found Near: 21800 block of  SE GREEN VALLEY RD<p/> Description: Black Male Domestic Shorthair Cat<p/> Age: 8 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-180202,A730967,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2957802,LOST,Rita,Cat,Under 1 year<p/>,Female,Domestic Mediumhair,Black,"Jun 20, 2025",Date Lost,S  192ND AT SEATAC WA,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2957802,Image Copyright HLP Inc. 2025,"<p/>Age: Under 1 year<p/>Location Lost: S 192nd at seatac WA, Seattle WA  98188<p/>Lost Date: 2025-06-20<p/>",
